Bib_ID,item_barcode,"Nhan đề","Tác giả","Nhà xuất bản","Năm xuất bản"
446,000000402,"Lên gác rút thang : Chiến lược phát triển nhìn từ quan điểm lịch sử / Ha Joon Chang; Hoàng Xuân Diễm, Nguyễn Đình Minh Anh, Trần Mai Anh - dịch; Phạm Nguyên Trường - h.đ.;","Ha, Joon Chang","Lao động,",2016
447,000000372,"Lều chõng /  Ngô Tất Tố; Cao Đắc Điểm, Ngô Thị Thanh Lịch - s.t., khảo dị, chú giải, giới thiệu","Ngô, Tất Tố","Văn Học,",2016
448,000001353,"Lý thuyết xác suất /  Nguyễn Duy Tiến, Vũ Viết Yên","Nguyễn, Duy Tiến","Giáo dục,",2016
449,000000445,"Linh kiện bán dẫn và vi mạch /  Hồ Văn Sung","Hồ, Văn Sung","Giáo dục,",2011
450,000001463,"Lột trần CEO : Từ một học sinh cá biệt đến một CEO đột phá / Alex Malley","Malley, Alex","Đại học Kinh tế Quốc dân,",2016
451,000000365,"Luật hấp dẫn - Bí mật tối cao /  Som Sujeera; Diệu Hằng - dịch; Hồng Tú - h.đ.","Sujeera, Som","Từ điển bách khoa,",2019
452,000000170,"Luật hấp dẫn - 5 bước thực hành /  Joe Vitale; Trần Cung - dịch","Vitale, Joe","Lao động,",2019
453,000000107,"Luật kế toán, luật kiểm toán nhà nước và các văn bản hướng dẫn thi hành /  Vũ Tươi","Vũ, Tươi","Tài chính,",2019
454,000000414,"Lý Quang Diệu Kỷ luật thép của Singaore /  Lý Quang Diệu; Nguyễn Thị Bích Phương dịch","Lý, Quang Diệu","Hồng Đức,",2018
455,000000163,"Lý Quang Diệu những điều tôi biết /  Chin Kah Chong","Chin, Kah Chong","Hồng Đức,",2019
456,000000651,"Lý thuyết cơ sở dữ liệu quan hệ và ứng dụng /  Nguyễn Ngọc Cương, Phạm Thị Anh Lê","Nguyễn, Ngọc Cương","Thông tin và truyền thông,",2019
457,000001327,"Lý thuyết đồ thị và ứng dụng /  Nguyễn Trường Xuân chủ biên, [và những người khác]","Nguyễn, Trường Xuân","Giáo dục,",2017
458,000000447,"Lý thuyết mạch - tín hiệu.  Đỗ Huy Giác, Nguyễn Văn Tách","Đỗ, Huy Giác","Khoa học và kỹ thuật,",2009
459,000000540,"Lý thuyết tạo hình bề mặt và ứng dụng trong kỹ thuật cơ khí /  Bành Tiến Long, Bùi Ngọc Tuyên","Bành, Tiến Long","Giáo dục,",2013
460,000000580,"Marketing đột phá /  Paul R. Gamble, Alan Tapp, Anthony Marsella, Merlin Stone; Bích Liễu, Thu Hà - biên dịch","Gamble, Paul R.","Tổng hợp TP. Hồ Chí Minh,",2016
461,000000605,"Marketing ngân hàng /  Trịnh Quốc Trung","Trịnh, Quốc Trung","Lao động Xã hội,",2013
462,000000649,"Mật mã và an toàn thông tin : Lý thuyết và ứng dụng / Hồ Văn Canh, Lê Danh Cường","Hồ, Văn Canh","Thông tin và truyền thông,",2018
463,000000455,"Máy điện.  Bùi Đức Hùng, Triệu Việt Linh","Bùi, Đức Hùng","Giáo dục Việt Nam,",2013
464,000000457,"Máy điện.  Bùi Đức Hùng, Triệu Việt Linh","Bùi, Đức Hùng","Giáo dục,",2010
465,000000437,"Máy điện lý thuyết và bài tập /  Trần Văn Chính","Trần, Văn Chính","Xây dựng,",2019
466,000001357,"Mở đầu về lý thuyết xác suất và các ứng dụng /  Đặng Hùng Thắng","Đặng, Hùng Thắng","Giáo dục,",2015
467,000000360,"Một nụ cười bằng mười thang thuốc bổ /  Trần Trường Minh sưu tầm tuyển chọn","Trần, Trường Minh","Dân Trí,",2019
468,000000607,"Mua sắm thông minh : Mánh khoé các tập đoàn quốc tế sử dụng để lôi kéo và thuyết phục khách hàng / Martin Lindstrom; Khánh Thủy, Khải Nguyễn - dịch","Lindstrom, Martin","Lao động,",2016
469,000000413,"Năng đoạn kim cương /  Geshe Michael Roach; Trần Tuấn Mẫn","Roach, Michael Geshe","Lao động,",2019
470,000000326,"Nắng trong vườn : Bộ danh tác văn học Việt Nam / Thạch Lam","Thạch Lam","Văn Học,",2016
471,000000248,"Nếu thành công là một cuộc chơi /  Che'rie Carter - Scott; Bích Thuỷ, Hạnh Nguyên - biên dịch","Carter - Scott, Che'rie","Tổng hợp TP. Hồ Chí Minh,",2016
472,000000230,"Nghệ thuật bài trí của người Nhật : phép màu thay đổi cuộc sống / Marie Kondo; Thanh Minh - dịch","Marie, Kondo","Lao động,",2019
473,000000370,"Nghệ thuật nói trước công chúng : How to develop Self- Confidence and Influence People by Public Speaking / Dale Carnegie; Minhthangbooks biên dịch","Carnegie, Dale","Dân Trí,",2019
474,000000211,"Nghĩ giàu làm giàu 365 ngày : Napoleon Hill's positive plan - 365 meditations for making each day a success / Naoleon Hill","Hill, Napoleon","Lao động Xã hội,",2019
475,000000240,"Nghĩ như nhà vô địch /  Donald J. Trump, Meredith Mciver; Bùi Kim Tuyến - dịch","Trump, Donald J.","Dân Trí,",2018
476,000000629,"Nghiệp vụ đấu thầu /  Nguyễn Quang Duệ, Đào Thị Thu Trang","Nguyễn, Quang Duệ","Thông tin và truyền thông,",2018
477,000000349,"Nghìn lẻ một đêm.  Angtoan Galang","Galang, Angtoan","Văn Học,",2015
478,000000350,"Nghìn lẻ một đêm.  Angtoan Galang","Galang, Angtoan","Văn Học,",2015
479,000000346,"Nghìn lẻ một đêm.  Angtoan Galang","Galang, Angtoan","Văn Học,",2015
480,000000345,"Nghìn lẻ một đêm.  Antoine Galland","Galang, Antoine","Văn Học,",2015
481,000000776,"Người bán hàng một phút = The one minute manager sales person / Spencer Johnson; dịch: Việt Hà","Johnson, Spencer","Tổng hợp TP. Hồ Chí Minh,",2018
482,000000283,"Người bán hàng vĩ đại nhất thế giới : Những kiến thức vô giá từ mười cuốn da dê được lưu truyền từ ngàn năm trước : The Greatest sales man in the world. Og Mandino; Đoàn Phạm Gia Phú dịch","Mandino, Og","Tổng hợp TP. Hồ Chí Minh,",2019
483,000000277,"Người bán hàng vĩ đại nhất thế giới : Những kiến thức vô giá từ mười cuốn da dê được lưu truyền từ ngàn năm trước : The Greatest sales man in the world. Og Mandino; Lê Thị Ngọc Hà dịch","Mandino, Og","Tổng hợp TP. Hồ Chí Minh,",2019
484,000000730,"Người giàu đều nghĩ như thế /  Samuel Smiles; Nguyễn Thị Tươi dịch","Nguyễn, Thị Tươi","Hồng Đức,",2019
485,000000328,"Người gieo hy vọng /  Erin Gruwell; Hoàng Mai Hoa - dịch","Gruwell, Erin","Lao động,",2019
486,000000200,"Người nam châm : Bí mật của luật hấp dẫn / Jack Canfield , D. D. Watkins; Thu Huyền, Thanh Minh - dịch","Canfield, Jack","Lao động Xã hội,",2019
487,000000166,"Người thông minh giải quyết vấn đề như thế nào /  Ken Watanabe; Việt Anh - dịch","Watanabe, Ken","Tổng hợp TP. Hồ Chí Minh,",2019
488,000000441,"Nguyên lí động cơ đốt trong /  Nguyễn Tất Tiến","Nguyễn, Tất Tiến","Giáo dục,",2015
489,000000524,"Nguyên lí máy.  Đinh Gia Tường, Tạ Khánh Lâm","Đinh, Gia Tường","Giáo dục,",2017
490,000000471,"Nguyên lí máy.  Đinh Gia Tường, Phan Văn Đồng, Tạ Khánh Lâm","Đinh, Gia Tường","Giáo dục,",2017
491,000000574,"Nguyên lý tiếp thị : Princiles of Marketing / Philip Kotler, Gary Armstrong,","Kotler, Philip","Lao động Xã hội,",2012
492,000001307,"Nhiệt động học kỹ thuật trong công nghệ hóa học /  Vũ Hồng Thái","Vũ, Hồng Thái","Khoa học và kỹ thuật,",2018
493,000000314,"Những bí ẩn trên thế giới chưa được giải đáp /  Nguyễn Văn Huân","Nguyễn , Văn Huân","Dân Trí,",2018
494,000000285,"Những cánh hoa tàn : Danh tác văn học Việt Nam / Nam Cao","Nam Cao","Văn Học,",2018
495,000000356,"Những cuộc phiêu lưu của Tom Sawyer và Huckleberry Finn /  Mark Twain; Phương Linh - dịch","Twain, Mark","Văn Học,",2018
496,000000229,"Những mảnh ghép cuộc đời /  Jim Rohn; Thủy Hương dịch","Rohn, Jim","Lao động,",2019
497,000000363,"Những ngày thơ ấu /  Nguyên Hồng","Nguyên Hồng","Văn Học,",2018
498,000000279,"Những người khốn khổ /  Victor Hugo","Hugo, Victor","Văn Học,",2018
499,000000411,"Những người khổng lồ trong giới kinh doanh : 7 nhà cải cách doanh nghiệp và đế chế của họ / Richard S. Tedlow; Vũ Trọng Đại, Đặng Việt Vinh - dịch","Tedlow, Richard S.","Lao động,",2019
500,000000769,"Những nguyên lý quản trị bất biến mọi thời đại /  Peter F. Drucker; Vương Bảo Long - dịch","Drucker, Peter F.","Tổng hợp TP. Hồ Chí Minh,",2019
501,000000210,"Những nguyên tắc thành công : Vươn tới đỉnh cao từ xuất phát điểm hiện tại : The success principles / Jack Canfield; Mai Hường - dịch, Chung Quý - h.đ","Canfield, Jack","Tri thức,",2019
502,000000246,"Những nguyên tắc vàng của Napoleon Hill : Napoleon Hill's golden rules / Napoleon Hill; Kim Vân - dịch","Hill, Napoleon","Tổng hợp TP. Hồ Chí Minh,",2019
503,000000242,"Những phương thức phục hồi sức khỏe theo tự nhiên /  Nishi Katsuzo; Trương Thị Thảo - dịch","Katsuzo, Nishi","Lao động,",2019
